season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times
7,99109956,Максимова Надежда Сергеевна,4,5,4,5,единая россия,1776,4
7,99109957,Третьяк Владислав Александрович,1,5,1,2,единая россия,1776,4
7,99109963,Саблин Дмитрий Вадимович,1,2,4,2,единая россия,1776,4
7,99109981,Борцов Николай Иванович,1,4,2,2,единая россия,1776,4
7,99109998,Аршба Отари Ионович,4,5,4,5,единая россия,1776,4
7,99110020,Езерский Николай Николаевич,1,3,1,2,кпрф,1776,4
7,99110032,Тарасюк Василий Михайлович,2,3,1,2,лдпр,213,4
7,99110033,Шайхутдинов Рифат Габдулхакович,3,1,2,2,Без или др,1776,3
7,99110050,Кашин Владимир Иванович,5,3,3,4,кпрф,1776,4
7,99110082,Гаджиев Магомед Тажудинович,1,4,5,4,единая россия,1776,4
7,99110085,Гильмутдинов Ильдар Ирекович,4,5,4,5,единая россия,1776,4
7,99110089,Хор Глеб Яковлевич,3,4,4,4,единая россия,1776,4
7,99110096,Симановский Леонид Яковлевич,3,5,4,4,единая россия,1776,4
7,99110097,Фокин Александр Иванович,2,4,2,3,единая россия,1776,4
7,99110102,Панков Николай Васильевич,1,4,3,3,единая россия,1776,3
7,99110213,Нилов Ярослав Евгеньевич,5,2,4,4,лдпр,1776,3
7,99110299,Смирнов Юрий Валентинович,1,5,2,3,единая россия,1776,1
7,99110909,Аникеев Григорий Викторович,1,5,2,3,единая россия,1776,3
7,99110911,Афонин Юрий Вячеславович,3,3,3,3,кпрф,1776,3
7,99110914,Балыхин Григорий Артёмович,1,3,3,3,единая россия,1776,3
7,99110921,Богуславский Ирек Борисович,1,5,3,3,единая россия,1776,3
7,99110925,Бурков Александр Леонидович,2,1,2,2,справедливая россия,369,3
7,99110927,Валенчук Олег Дорианович,2,5,3,4,единая россия,1776,3
7,99110929,Водолацкий Виктор Петрович,4,4,5,5,единая россия,1776,3
7,99110932,Вторыгина Елена Андреевна,1,4,4,3,единая россия,1776,3
7,99110933,Вяткин Дмитрий Федорович,4,5,4,5,единая россия,1776,3
7,99110934,Гаврилов Сергей Анатольевич,3,1,2,3,кпрф,1776,3
7,99110941,Голушко Андрей Иванович,2,3,2,3,единая россия,1776,2
7,99110948,Делимханов Адам Султанович,1,5,3,3,единая россия,1776,3
7,99110949,Демченко Иван Иванович,1,3,2,2,единая россия,1776,3
7,99110954,Езубов Алексей Петрович,1,4,3,3,единая россия,1776,3
7,99110957,Железняк Сергей Владимирович,3,5,4,4,единая россия,1776,3
7,99110958,Журова Светлана Сергеевна,3,5,3,4,единая россия,1776,3
7,99110967,Зубарев Виктор Владиславович,2,4,4,4,единая россия,1776,3
7,99110982,Квитка Иван Иванович,1,5,3,4,единая россия,1776,3
7,99110985,Колесников Олег Алексеевич,1,1,2,1,единая россия,1776,3
7,99110990,Корниенко Алексей Викторович,3,1,2,3,кпрф,1776,3
7,99110999,Луговой Андрей Константинович,3,2,2,3,лдпр,1776,3
7,99111010,Мукабенова Марина Алексеевна,2,5,3,4,единая россия,1776,3
7,99111015,Напсо Юрий Аисович,1,3,2,2,лдпр,1776,3
7,99111018,Новиков Дмитрий Георгиевич,4,1,2,2,кпрф,1776,3
7,99111028,Петров Сергей Валериевич,1,5,3,3,единая россия,1776,3
7,99111035,Роднина Ирина Константиновна,2,4,2,3,единая россия,1776,3
7,99111037,Русских Алексей Юрьевич,2,3,1,2,кпрф,712,3
7,99111048,Свищев Дмитрий Александрович,1,3,3,2,лдпр,1776,3
7,99111049,Селезнев Валерий Сергеевич,1,2,2,2,лдпр,1776,3
7,99111054,Сибагатуллин Фатих Саубанович,1,4,3,3,единая россия,1776,3
7,99111057,Старшинов Михаил Евгеньевич,1,3,3,3,единая россия,1776,3
7,99111061,Тарасенко Михаил Васильевич,5,4,3,4,единая россия,1776,3
7,99111063,Терентьев Александр Васильевич,1,4,3,3,справедливая россия,1776,3
7,99111064,Терентьев Михаил Борисович,4,5,2,4,единая россия,1776,3
7,99111067,Тумусов Федот Семёнович,4,4,3,4,справедливая россия,1776,3
7,99111071,Фургал Сергей Иванович,2,3,3,3,лдпр,721,3
7,99111079,Черкасов Кирилл Игоревич,3,3,1,3,лдпр,1776,3
7,99111084,Шойгу Лариса Кужугетовна,1,4,2,3,единая россия,1709,3
7,99111086,Шхагошев Адальби Люлевич,4,5,4,5,единая россия,1776,3
7,99111093,Яровая Ирина Анатольевна,5,4,4,5,единая россия,1776,3
7,99111220,Кабанова Валентина Викторовна,3,5,3,4,единая россия,1776,3
7,99111374,Фетисов Вячеслав Александрович,2,3,2,3,единая россия,1776,1
