season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times
6,99100804,Клинцевич Франц Адамович,3,5,1,3,единая россия,1377,4
6,99100819,Левченко Сергей Георгиевич,2,3,2,2,кпрф,1377,3
6,99100821,Булаев Николай Иванович,4,5,1,4,единая россия,1363,4
6,99100841,Коломейцев Виктор Андреевич,4,4,1,3,кпрф,1749,3
6,99100848,Южилин Виталий Александрович,1,5,2,3,единая россия,1749,4
6,99100857,Гасанов Магомедкади Набиевич,1,5,2,3,единая россия,1749,4
6,99100862,Игошин Игорь Николаевич,2,5,2,4,единая россия,1749,4
6,99100877,Зубицкий Борис Давыдович,1,5,2,3,единая россия,1749,4
6,99100886,Резник Владислав Матусович,2,5,2,4,единая россия,1749,4
6,99100888,Сафаралиев Гаджимет Керимович,3,5,3,4,единая россия,1749,4
6,99100913,Бурыкина Наталья Викторовна,4,5,3,5,единая россия,1749,3
6,99101528,Герасименко Николай Федорович,3,5,3,4,единая россия,1749,5
6,99101697,Горячева Светлана Петровна,4,4,1,3,справедливая россия,1006,5
6,99101759,Громов Борис Всеволодович,1,5,1,2,единая россия,1201,2
6,99102051,Гончар Николай Николаевич,4,5,4,5,единая россия,1749,5
6,99102119,Емельянов Михаил Васильевич,4,4,3,4,справедливая россия,1748,5
6,99102729,Карелова Галина Николаевна,2,5,1,3,единая россия,1006,3
6,99102913,Кобзон Иосиф Давыдович,2,5,2,4,единая россия,1749,5
6,99103008,Коломейцев Николай Васильевич,5,3,2,4,кпрф,1749,4
6,99103226,Кравец Александр Алексеевич,3,3,1,3,кпрф,1749,4
6,99103433,Куликов Александр Дмитриевич,4,3,1,3,кпрф,1749,4
6,99104023,Мельников Иван Иванович,2,3,3,3,кпрф,1749,5
6,99104055,Мизулина Елена Борисовна,4,4,1,3,справедливая россия,1372,4
6,99104393,Никитин Владимир Степанович,2,3,1,2,кпрф,1217,5
6,99104403,Никитчук Иван Игнатьевич,5,4,2,4,кпрф,1749,3
6,99104631,Панина Елена Владимировна,3,5,3,4,единая россия,1749,4
6,99104769,Пешков Виктор Петрович,1,3,1,2,кпрф,1749,3
6,99105189,Романов Валентин Степанович,5,3,1,4,кпрф,1749,5
6,99105193,Романов Петр Васильевич,1,3,2,2,кпрф,1749,5
6,99105318,Савицкая Светлана Евгеньевна,2,3,2,3,кпрф,1749,5
6,99105417,Сапожников Николай Иванович,2,4,2,3,кпрф,1749,5
6,99105719,Смолин Олег Николаевич,5,3,3,4,кпрф,1749,5
6,99105743,Сокол Святослав Михайлович,2,3,1,2,кпрф,1749,4
6,99105843,Стародубцев Василий Александрович,1,1,1,1,кпрф,9,2
6,99106978,Штогрин Сергей Иванович,3,4,2,3,кпрф,639,5
6,99107007,Шурчанов Валентин Сергеевич,3,4,2,3,кпрф,1749,3
6,99107113,Язев Валерий Афонасьевич,2,5,2,4,единая россия,1749,5
6,99107555,Зеренков Валерий Георгиевич,1,4,1,2,единая россия,133,1
6,99107556,Зубов Валерий Михайлович,4,3,1,3,справедливая россия,1589,4
6,99107581,Лихачев Василий Николаевич,3,3,2,3,кпрф,1558,1
6,99107599,Николаев Михаил Ефимович,1,5,2,3,единая россия,1749,1
6,99107609,Позгалев Вячеслав Евгеньевич,1,5,4,4,единая россия,1749,1
6,99107639,Федоткин Владимир Николаевич,5,3,1,4,кпрф,1749,2
6,99107656,Пехтин Владимир Алексеевич,2,5,3,4,единая россия,464,4
6,99107687,Гартунг Валерий Карлович,5,4,2,4,справедливая россия,1749,5
6,99107708,Пивненко Валентина Николаевна,2,5,2,4,единая россия,1749,4
6,99107823,Гудков Геннадий Владимирович,4,2,1,3,справедливая россия,268,4
6,99107839,Оганян Оганес Арменакович,1,4,2,2,справедливая россия,1748,1
6,99107842,Попов Сергей Александрович,4,5,1,4,единая россия,1748,3
6,99107856,Волков Юрий Николаевич,1,5,3,3,единая россия,1372,3
6,99107868,Шудегов Виктор Евграфович,4,4,3,4,справедливая россия,1749,2
6,99107891,Миронов Сергей Михайлович,4,4,3,4,справедливая россия,1749,2
6,99107986,Андреев Андрей Анатольевич,2,4,3,3,кпрф,1749,2
6,99108215,Габдрахманов Ильдар Нуруллович,4,5,3,5,единая россия,338,3
6,99109163,Сидякин Александр Геннадьевич,4,5,4,5,единая россия,1749,1
6,99109210,Соловьев Вадим Георгиевич,4,3,2,4,кпрф,1749,2
6,99109274,Тетекин Вячеслав Николаевич,3,3,2,3,кпрф,1749,1
6,99109613,Петров Юрий Александрович,1,1,3,2,единая россия,1749,1
6,99109636,Чиндяскин Сергей Викторович,2,5,3,4,единая россия,1749,1
6,99109661,Лысяков Алексей Алексеевич,1,4,2,2,справедливая россия,1749,1
6,99109755,Рохмистров Максим Станиславович,4,3,1,3,лдпр,639,3
6,99109794,Скоробогатько Александр Иванович,1,5,3,3,единая россия,1749,3
6,99109798,Морозов Антон Юрьевич,2,3,1,2,лдпр,181,1
6,99109895,Поздняков Владимир Георгиевич,3,3,2,3,кпрф,1749,1
6,99109906,Казаков Виктор Алексеевич,3,5,3,4,единая россия,1749,3
6,99109907,Баринов Игорь Вячеславович,2,5,2,3,единая россия,1198,3
6,99109912,Хинштейн Александр Евсеевич,5,5,3,5,единая россия,1749,3
6,99109921,Чижов Сергей Викторович,2,5,4,4,единая россия,1749,3
6,99109928,Хайруллин Айрат Назипович,3,5,4,5,единая россия,1749,3
6,99109940,Васильев Владимир Абдуалиевич,4,5,4,5,единая россия,1748,3
6,99109942,Кармазина Раиса Васильевна,4,5,4,5,единая россия,1749,3
6,99109943,Ткачев Алексей Николаевич,2,5,3,4,единая россия,1749,3
6,99109949,Хованская Галина Петровна,5,4,2,4,справедливая россия,1749,3
6,99109953,Заварзин Виктор Михайлович,2,5,3,4,единая россия,1749,3
6,99109956,Максимова Надежда Сергеевна,4,5,4,5,единая россия,1749,3
6,99109957,Третьяк Владислав Александрович,2,5,3,4,единая россия,1749,3
6,99109959,Собко Сергей Васильевич,3,3,2,3,кпрф,1749,3
6,99109962,Степанова Зоя Михайловна,2,5,2,3,единая россия,1749,3
6,99109963,Саблин Дмитрий Вадимович,2,5,2,4,единая россия,545,3
6,99109965,Агеев Александр Александрович,4,4,3,4,справедливая россия,1749,2
6,99109976,Локоть Анатолий Евгеньевич,5,4,2,4,кпрф,838,3
6,99109981,Борцов Николай Иванович,1,5,4,4,единая россия,1749,3
6,99109998,Аршба Отари Ионович,3,5,2,4,единая россия,1749,3
6,99110005,Кравченко Валерий Николаевич,1,5,3,3,единая россия,1749,3
6,99110006,Васильев Юрий Викторович,2,5,3,4,единая россия,1749,3
6,99110015,Шестаков Василий Борисович,1,5,3,3,единая россия,1749,3
6,99110020,Езерский Николай Николаевич,1,4,2,2,кпрф,1749,3
6,99110022,Заполев Михаил Михайлович,2,3,1,3,кпрф,1749,3
6,99110032,Тарасюк Василий Михайлович,3,3,2,3,лдпр,1749,3
6,99110038,Сироткин Сергей Никанорович,2,3,2,2,лдпр,1558,3
6,99110040,Афанасьева Елена Владимировна,3,3,1,2,лдпр,1010,3
6,99110045,Бабаков Александр Михайлович,1,5,1,2,единая россия,1749,3
6,99110050,Кашин Владимир Иванович,5,3,2,4,кпрф,1749,3
6,99110059,Муравленко Сергей Викторович,1,3,1,2,кпрф,1749,3
6,99110064,Борзова Ольга Георгиевна,2,5,3,4,единая россия,1749,3
6,99110068,Воробьёв Андрей Юрьевич,1,5,2,3,единая россия,323,3
6,99110072,Плигин Владимир Николаевич,5,5,4,5,единая россия,1749,3
6,99110082,Гаджиев Магомед Тажудинович,1,5,5,4,единая россия,1749,3
6,99110084,Савченко Олег Владимирович,1,5,2,3,единая россия,1749,3
6,99110085,Гильмутдинов Ильдар Ирекович,3,5,4,5,единая россия,1749,3
6,99110089,Хор Глеб Яковлевич,3,5,4,4,единая россия,1749,3
6,99110095,Тимченко Вячеслав Степанович,4,5,1,4,единая россия,1008,3
6,99110096,Симановский Леонид Яковлевич,3,5,3,4,единая россия,1749,3
6,99110097,Фокин Александр Иванович,3,5,3,4,единая россия,1749,3
6,99110102,Панков Николай Васильевич,3,5,4,5,единая россия,1749,2
